scenario,month,group_id,origin_region,scope_type,wagon_type,scope_family,workshop,allocated_wagons,total_hh,direct_cost,logistics_cost,unavailability_cost,retention_cost,composite_cost,local_assignment
local_first_heuristic,9,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,PM2,1,35.0,110.0,4.0,3.0,12.0,129.0,1
local_first_heuristic,9,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM2,9,90.0,630.0,36.0,27.0,27.0,720.0,1
local_first_heuristic,9,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,PM3,4,40.0,344.0,16.0,12.0,32.0,404.0,1
local_first_heuristic,9,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,PM3,2,24.0,172.0,8.0,6.0,16.0,202.0,1
local_first_heuristic,9,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,PM3,1,9.0,68.0,4.0,3.0,8.0,83.0,1
local_first_heuristic,9,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,PM3,3,24.0,264.0,12.0,9.0,24.0,309.0,1
local_first_heuristic,9,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM3,2,20.0,172.0,76.0,24.0,16.0,288.0,0
local_first_heuristic,9,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM3,4,48.0,344.0,152.0,48.0,32.0,576.0,0
local_first_heuristic,9,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,PM2,5,200.0,550.0,275.0,90.0,75.0,990.0,0
local_first_heuristic,9,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,PM2,1,40.0,110.0,42.0,12.0,15.0,179.0,0
local_first_heuristic,9,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,PM2,1,30.0,105.0,55.0,18.0,12.0,190.0,0
local_first_heuristic,9,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,PM1,1,14.0,110.0,4.0,3.0,4.5,121.5,1
local_first_heuristic,9,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,PM3,1,14.0,108.0,38.0,12.0,9.5,167.5,0
local_first_heuristic,9,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,10,80.0,950.0,40.0,30.0,30.0,1050.0,1
local_first_heuristic,9,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM3,9,72.0,792.0,342.0,108.0,72.0,1314.0,0
local_first_heuristic,9,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM1,4,36.0,280.0,16.0,12.0,12.0,320.0,1
local_first_heuristic,9,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM3,4,36.0,272.0,152.0,48.0,32.0,504.0,0
local_first_heuristic,10,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM1,12,120.0,1080.0,48.0,36.0,36.0,1200.0,1
local_first_heuristic,10,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM1,5,60.0,450.0,20.0,15.0,15.0,500.0,1
local_first_heuristic,10,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,PM2,3,120.0,330.0,12.0,9.0,45.0,396.0,1
local_first_heuristic,10,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,PM2,2,60.0,210.0,8.0,6.0,24.0,248.0,1
local_first_heuristic,10,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,PM2,1,35.0,110.0,4.0,3.0,12.0,129.0,1
local_first_heuristic,10,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM2,9,90.0,630.0,36.0,27.0,27.0,720.0,1
local_first_heuristic,10,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,PM3,4,40.0,344.0,16.0,12.0,32.0,404.0,1
local_first_heuristic,10,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,PM3,2,24.0,172.0,8.0,6.0,16.0,202.0,1
local_first_heuristic,10,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,PM3,1,9.0,68.0,4.0,3.0,8.0,83.0,1
local_first_heuristic,10,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,PM3,3,24.0,264.0,12.0,9.0,24.0,309.0,1
local_first_heuristic,10,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM3,2,20.0,172.0,76.0,24.0,16.0,288.0,0
local_first_heuristic,10,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM3,4,48.0,344.0,152.0,48.0,32.0,576.0,0
local_first_heuristic,10,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,PM2,4,160.0,440.0,220.0,72.0,60.0,792.0,0
local_first_heuristic,10,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,PM2,2,80.0,220.0,84.0,24.0,30.0,358.0,0
local_first_heuristic,10,R1-GDT-VR4,R1,GDT-VR4,GDT,VR4,PM2,1,30.0,105.0,55.0,18.0,12.0,190.0,0
local_first_heuristic,10,R1-GDU-VR2,R1,GDU-VR2,GDU,VR2,PM1,1,14.0,110.0,4.0,3.0,4.5,121.5,1
local_first_heuristic,10,R2-GDU-VR2,R2,GDU-VR2,GDU,VR2,PM3,1,14.0,108.0,38.0,12.0,9.5,167.5,0
local_first_heuristic,10,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,10,80.0,950.0,40.0,30.0,30.0,1050.0,1
local_first_heuristic,10,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM3,9,72.0,792.0,342.0,108.0,72.0,1314.0,0
local_first_heuristic,10,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM1,4,36.0,280.0,16.0,12.0,12.0,320.0,1
local_first_heuristic,10,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM3,4,36.0,272.0,152.0,48.0,32.0,504.0,0
local_first_heuristic,11,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM1,11,110.0,990.0,44.0,33.0,33.0,1100.0,1
local_first_heuristic,11,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM1,4,48.0,360.0,16.0,12.0,12.0,400.0,1
local_first_heuristic,11,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM1,3,27.0,210.0,12.0,9.0,9.0,240.0,1
local_first_heuristic,11,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,PM2,3,120.0,330.0,12.0,9.0,45.0,396.0,1
local_first_heuristic,11,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,PM2,1,30.0,105.0,4.0,3.0,12.0,124.0,1
local_first_heuristic,11,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,PM2,1,35.0,110.0,4.0,3.0,12.0,129.0,1
local_first_heuristic,11,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM2,10,100.0,700.0,40.0,30.0,30.0,800.0,1
local_first_heuristic,11,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM2,2,24.0,140.0,8.0,6.0,6.0,160.0,1
local_first_heuristic,11,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,PM3,4,40.0,344.0,16.0,12.0,32.0,404.0,1
local_first_heuristic,11,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,PM3,1,12.0,86.0,4.0,3.0,8.0,101.0,1
local_first_heuristic,11,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,PM3,1,9.0,68.0,4.0,3.0,8.0,83.0,1
local_first_heuristic,11,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,PM3,3,24.0,264.0,12.0,9.0,24.0,309.0,1
local_first_heuristic,11,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM3,2,24.0,172.0,76.0,24.0,16.0,288.0,0
local_first_heuristic,11,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM3,1,9.0,68.0,30.0,9.0,8.0,115.0,0
local_first_heuristic,11,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM3,3,27.0,204.0,114.0,36.0,24.0,378.0,0
local_first_heuristic,11,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM3,2,16.0,176.0,60.0,18.0,16.0,270.0,0
local_first_heuristic,11,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,PM2,3,120.0,330.0,165.0,54.0,45.0,594.0,0
local_first_heuristic,11,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,PM2,2,80.0,220.0,84.0,24.0,30.0,358.0,0
local_first_heuristic,11,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,7,56.0,665.0,28.0,21.0,21.0,735.0,1
local_first_heuristic,11,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM2,1,8.0,75.0,4.0,3.0,3.0,85.0,1
local_first_heuristic,11,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM3,7,56.0,616.0,266.0,84.0,56.0,1022.0,0
local_first_heuristic,12,R1-GDT-VMC,R1,GDT-VMC,GDT,VMC,PM1,12,120.0,1080.0,48.0,36.0,36.0,1200.0,1
local_first_heuristic,12,R1-GDU-VMC,R1,GDU-VMC,GDU,VMC,PM1,5,60.0,450.0,20.0,15.0,15.0,500.0,1
local_first_heuristic,12,R2-GDT-VRG,R2,GDT-VRG,GDT,VRG,PM2,3,120.0,330.0,12.0,9.0,45.0,396.0,1
local_first_heuristic,12,R2-GDT-VR4,R2,GDT-VR4,GDT,VR4,PM2,1,30.0,105.0,4.0,3.0,12.0,124.0,1
local_first_heuristic,12,R2-GDU-VR4,R2,GDU-VR4,GDU,VR4,PM2,1,35.0,110.0,4.0,3.0,12.0,129.0,1
local_first_heuristic,12,R2-GDT-VMC,R2,GDT-VMC,GDT,VMC,PM2,11,110.0,770.0,44.0,33.0,33.0,880.0,1
local_first_heuristic,12,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM2,1,12.0,70.0,4.0,3.0,3.0,80.0,1
local_first_heuristic,12,R3-GDT-VMC,R3,GDT-VMC,GDT,VMC,PM3,4,40.0,344.0,16.0,12.0,32.0,404.0,1
local_first_heuristic,12,R3-GDU-VMC,R3,GDU-VMC,GDU,VMC,PM3,2,24.0,172.0,8.0,6.0,16.0,202.0,1
local_first_heuristic,12,R3-GDU-VR1,R3,GDU-VR1,GDU,VR1,PM3,1,9.0,68.0,4.0,3.0,8.0,83.0,1
local_first_heuristic,12,R3-GDT-VR1,R3,GDT-VR1,GDT,VR1,PM3,3,24.0,264.0,12.0,9.0,24.0,309.0,1
local_first_heuristic,12,R2-GDU-VMC,R2,GDU-VMC,GDU,VMC,PM3,3,36.0,258.0,114.0,36.0,24.0,432.0,0
local_first_heuristic,12,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM3,3,27.0,204.0,90.0,27.0,24.0,345.0,0
local_first_heuristic,12,R1-GDT-VRG,R1,GDT-VRG,GDT,VRG,PM2,3,120.0,330.0,165.0,54.0,45.0,594.0,0
local_first_heuristic,12,R3-GDT-VRG,R3,GDT-VRG,GDT,VRG,PM2,1,40.0,110.0,42.0,12.0,15.0,179.0,0
local_first_heuristic,12,R1-GDU-VRG,R1,GDU-VRG,GDU,VRG,PM2,2,92.0,282.0,110.0,36.0,30.0,458.0,0
local_first_heuristic,12,R1-GDT-VR1,R1,GDT-VR1,GDT,VR1,PM1,9,72.0,855.0,36.0,27.0,27.0,945.0,1
local_first_heuristic,12,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM2,2,16.0,150.0,8.0,6.0,6.0,170.0,1
local_first_heuristic,12,R2-GDT-VR1,R2,GDT-VR1,GDT,VR1,PM3,6,48.0,528.0,228.0,72.0,48.0,876.0,0
local_first_heuristic,12,R1-GDU-VR1,R1,GDU-VR1,GDU,VR1,PM1,1,9.0,70.0,4.0,3.0,3.0,80.0,1
local_first_heuristic,12,R2-GDU-VR1,R2,GDU-VR1,GDU,VR1,PM3,4,36.0,272.0,152.0,48.0,32.0,504.0,0
